type,bedrooms,address,rental,county
All property types,All bedrooms,Carlow,633.84,Carlow
All property types,All bedrooms,Cavan,453.01,Cavan
All property types,All bedrooms,Clare,524.19,Clare
All property types,All bedrooms,Cork,806.69,Cork
All property types,All bedrooms,Donegal,452.97,Donegal
All property types,All bedrooms,Dublin,1207.37,Dublin
All property types,All bedrooms,Galway,829.52,Galway
All property types,All bedrooms,Kerry,553.56,Kerry
All property types,All bedrooms,Kildare,887.66,Kildare
All property types,All bedrooms,Kilkenny,644.59,Kilkenny
All property types,All bedrooms,Laois,567.85,Laois
All property types,All bedrooms,Leitrim,414.23,Leitrim
All property types,All bedrooms,Limerick,643.55,Limerick
All property types,All bedrooms,Longford,422.36,Longford
All property types,All bedrooms,Louth,672.48,Louth
All property types,All bedrooms,Mayo,514.76,Mayo
All property types,All bedrooms,Meath,765.04,Meath
All property types,All bedrooms,Monaghan,499.16,Monaghan
All property types,All bedrooms,Offaly,545.5,Offaly
All property types,All bedrooms,Roscommon,462.79,Roscommon
All property types,All bedrooms,Sligo,600.72,Sligo
All property types,All bedrooms,Tipperary,539.24,Tipperary
All property types,All bedrooms,Waterford,554.23,Waterford
All property types,All bedrooms,Westmeath,568.02,Westmeath
All property types,All bedrooms,Wexford,560.88,Wexford
All property types,All bedrooms,Wicklow,911.88,Wicklow
